update,global_step,fps,mean_reward,value_loss,policy_loss,entropy,explained_var,learning_rate
1,256,83,-0.009999999776482582,0.025992412120103836,-0.005633696913719177,1.6088088750839233,0.6333064,0.00025
2,512,98,-0.009999999776482582,0.017987186089158058,-0.002292569726705551,1.6087474822998047,0.73484504,0.00025
3,768,104,-0.009999999776482582,0.013064758852124214,-0.004278127104043961,1.60901939868927,0.24553174,0.00025
4,1024,108,-0.009999999776482582,0.007545816712081432,-0.0031093284487724304,1.6087188720703125,0.22885293,0.00025
5,1280,110,-0.009999999776482582,0.0037072929553687572,-0.00622645765542984,1.6077613830566406,0.19977176,0.00025
6,1536,112,-0.009999999776482582,0.004554559476673603,0.002944648265838623,1.6066851615905762,0.11550349,0.00025
7,1792,112,-0.009999999776482582,0.005894259549677372,-0.0013011395931243896,1.6065456867218018,0.22503692,0.00025
8,2048,113,-0.009999999776482582,0.0031589262653142214,-0.011339467018842697,1.6054551601409912,0.014389813,0.00025
9,2304,114,-0.009999999776482582,0.0019795834086835384,-0.0026000887155532837,1.604274868965149,0.10859108,0.00025
10,2560,115,-0.009999999776482582,0.0011862973915413022,-0.0019152741879224777,1.6047840118408203,0.09303355,0.00025
11,2816,115,-0.009999999776482582,0.0013900805497542024,0.00029240548610687256,1.6040863990783691,0.11477357,0.00025
12,3072,116,-0.009999999776482582,0.0008898221421986818,-0.0028691869229078293,1.6014503240585327,-0.065069795,0.00025
13,3328,116,-0.009999999776482582,0.0011845940025523305,0.003940016031265259,1.597038745880127,0.16818905,0.00025
14,3584,116,-0.009999999776482582,0.0009350352338515222,-0.0011549517512321472,1.592248797416687,-0.087138176,0.00025
15,3840,117,-0.009999999776482582,0.0011294253636151552,-0.002344869077205658,1.591376781463623,0.05530846,0.00025
16,4096,117,-0.009999999776482582,0.0013819910818710923,0.0018059909343719482,1.591874361038208,0.49021423,0.00025
17,4352,117,-0.009999999776482582,0.0007851845002733171,-0.009817726910114288,1.5973585844039917,-0.18327868,0.00025
18,4608,117,-0.009999999776482582,0.00047951453598216176,-0.00433296337723732,1.6010490655899048,-0.4156611,0.00025
19,4864,117,-0.009999999776482582,0.00015344035637099296,-0.0011952705681324005,1.599228024482727,0.01072365,0.00025
20,5120,117,-0.009999999776482582,0.0005780853098258376,0.004806676879525185,1.5909292697906494,-0.00592494,0.00025
21,5376,118,-0.009999999776482582,0.00022743039880879223,-0.020177140831947327,1.576857089996338,0.46573818,0.00025
22,5632,118,-0.009999999776482582,9.706792479846627e-05,-0.004896700382232666,1.564170002937317,0.24171048,0.00025
23,5888,118,-0.009999999776482582,8.69917421368882e-05,-0.007945932447910309,1.5442237854003906,0.41558212,0.00025
24,6144,118,-0.009999999776482582,2.5852470571408048e-05,-0.011165905743837357,1.512061595916748,0.36737108,0.00025
